Seq_IDs,CNN_Score,BLAST_Score,Total_Score,Prediction
Seq1,0.361,0.5,0.861,Transcription Factor
Seq2,1.0,0.5,1.5,Transcription Factor
Seq3,0.0,-0.5,-0.5,Non-Transcription Factor
Seq4,0.0,-0.5,-0.5,Non-Transcription Factor
Seq5,0.0,-0.5,-0.5,Non-Transcription Factor
